interest,total_clicks,approved_conversions,spend,cost_per_approved,click_to_approved_rate,qualifies_t10,qualifies_t25,qualifies_t50,stability_classification
16.0,5144,141,8084.91,57.34,0.0274,True,True,True,Stable (Robust Sample >= 50)
27.0,3409,54,5176.17,95.85,0.0158,True,True,True,Stable (Robust Sample >= 50)
10.0,3317,91,5086.38,55.89,0.0274,True,True,True,Stable (Robust Sample >= 50)
29.0,3315,132,5045.19,38.22,0.0398,True,True,True,Stable (Robust Sample >= 50)
28.0,2025,42,3205.85,76.33,0.0207,True,True,True,Stable (Robust Sample >= 50)
63.0,1675,34,2484.06,73.06,0.0203,True,True,True,Stable (Robust Sample >= 50)
15.0,1609,63,2597.26,41.23,0.0392,True,True,True,Stable (Robust Sample >= 50)
18.0,1524,33,2425.07,73.49,0.0217,True,True,True,Stable (Robust Sample >= 50)
20.0,1234,47,1960.77,41.72,0.0381,True,True,True,Stable (Robust Sample >= 50)
19.0,1188,33,1940.36,58.8,0.0278,True,True,True,Stable (Robust Sample >= 50)
32.0,1138,35,1970.53,56.3,0.0308,True,True,True,Stable (Robust Sample >= 50)
26.0,1113,23,1591.77,69.21,0.0207,True,True,True,Stable (Robust Sample >= 50)
25.0,1066,19,1603.86,84.41,0.0178,True,True,True,Stable (Robust Sample >= 50)
64.0,989,27,1486.13,55.04,0.0273,True,True,True,Stable (Robust Sample >= 50)
22.0,717,12,1039.86,86.65,0.0167,True,True,True,Stable (Robust Sample >= 50)
107.0,639,20,923.18,46.16,0.0313,True,True,True,Stable (Robust Sample >= 50)
109.0,572,8,815.82,101.98,0.014,True,True,True,Stable (Robust Sample >= 50)
101.0,524,25,757.69,30.31,0.0477,True,True,True,Stable (Robust Sample >= 50)
21.0,512,27,824.21,30.53,0.0527,True,True,True,Stable (Robust Sample >= 50)
105.0,453,6,647.8,107.97,0.0132,True,True,True,Stable (Robust Sample >= 50)
24.0,419,15,670.06,44.67,0.0358,True,True,True,Stable (Robust Sample >= 50)
7.0,410,19,648.93,34.15,0.0463,True,True,True,Stable (Robust Sample >= 50)
108.0,402,7,586.2,83.74,0.0174,True,True,True,Stable (Robust Sample >= 50)
100.0,395,9,574.31,63.81,0.0228,True,True,True,Stable (Robust Sample >= 50)
30.0,389,12,616.63,51.39,0.0308,True,True,True,Stable (Robust Sample >= 50)
23.0,375,7,595.65,85.09,0.0187,True,True,True,Stable (Robust Sample >= 50)
65.0,372,19,542.01,28.53,0.0511,True,True,True,Stable (Robust Sample >= 50)
110.0,365,9,521.35,57.93,0.0247,True,True,True,Stable (Robust Sample >= 50)
112.0,339,15,483.8,32.25,0.0442,True,True,True,Stable (Robust Sample >= 50)
103.0,333,5,479.13,95.83,0.015,True,True,True,Stable (Robust Sample >= 50)
106.0,332,5,482.15,96.43,0.0151,True,True,True,Stable (Robust Sample >= 50)
2.0,311,19,503.45,26.5,0.0611,True,True,True,Stable (Robust Sample >= 50)
104.0,265,8,387.92,48.49,0.0302,True,True,True,Stable (Robust Sample >= 50)
111.0,260,10,370.65,37.06,0.0385,True,True,True,Stable (Robust Sample >= 50)
113.0,233,7,342.83,48.98,0.03,True,True,True,Stable (Robust Sample >= 50)
31.0,195,16,299.1,18.69,0.0821,True,True,True,Stable (Robust Sample >= 50)
114.0,191,4,282.62,70.65,0.0209,True,True,True,Stable (Robust Sample >= 50)
102.0,150,7,215.07,30.72,0.0467,True,True,True,Stable (Robust Sample >= 50)
66.0,138,4,230.76,57.69,0.029,True,True,True,Stable (Robust Sample >= 50)
36.0,128,10,205.74,20.57,0.0781,True,True,True,Stable (Robust Sample >= 50)
